datetime,forecasted_wind_power
2021-01-01,0.10160821472121405
2021-01-02,0.12837741099780742
2021-01-03,0.02252257867942599
2021-01-04,0.0018031451502054363
2021-01-05,0.016272022400511225
2021-01-06,0.11546571667729029
2021-01-07,0.13784387922807964
2021-01-08,0.0018031451502054363
2021-01-09,0.0018031451502054363
2021-01-10,0.0018031451502054363
2021-01-11,0.06014208988875468
2021-01-12,0.028426151697867868
2021-01-13,0.03538604710677391
2021-01-14,0.09481340217313126
2021-01-15,0.014281395211819424
2021-01-16,0.04095801004647351
2021-01-17,0.08796325295400398
2021-01-18,0.03924679937455774
2021-01-19,0.05435277386268318
2021-01-20,0.02771013974556345
2021-01-21,0.0023356649527545275
2021-01-22,0.18787253278201133
2021-01-23,0.10252658221027203
2021-01-24,0.004925437275916007
2021-01-25,0.007979020799755354
2021-01-26,0.014616283838238736
2021-01-27,0.09900558512255055
2021-01-28,0.09640704790521268
2021-01-29,0.039483428808533456
2021-01-30,0.0018031451502054363
