datetime,forecasted_wind_power
2021-01-01,0.025274639982422565
2021-01-02,0.060060580034284626
2021-01-03,0.06267855833662497
2021-01-04,0.0
2021-01-05,0.009060027944932452
2021-01-06,0.005717338179744108
2021-01-07,0.09544006212040078
2021-01-08,0.036699950590824135
2021-01-09,0.0
2021-01-10,0.03116078179934422
2021-01-11,0.0
2021-01-12,0.09740163095182248
2021-01-13,0.0
2021-01-14,0.09305524153797477
2021-01-15,0.02679127058123763
2021-01-16,0.019066927052954066
2021-01-17,0.07582875099088142
2021-01-18,0.04794852127094148
2021-01-19,0.01755389320857529
2021-01-20,0.038794241300090786
2021-01-21,0.013622753839644449
2021-01-22,0.03694727838786319
2021-01-23,0.13056976068705073
2021-01-24,0.007912967338655624
2021-01-25,0.03713883406943959
2021-01-26,2.3716209732154456e-05
2021-01-27,0.042086227460843145
2021-01-28,0.0897683775660604
2021-01-29,0.06243138012759301
2021-01-30,0.0037352986659864
