datetime,dhr_forecast,esn_forecast,hybrid_forecast
2021-01-01,0.03852131473273901,0.025274639982422565,0.03719664725770736
2021-01-02,0.10143225954524838,0.01213736880372942,0.0925027704710965
2021-01-03,0.1337221179188663,0.0698185541360652,0.12733176154058617
2021-01-04,0.02648467964858267,0.06882280674894363,0.030718492358618763
2021-01-05,0.0,0.0,0.0
2021-01-06,0.018381928994045685,0.011060629497313413,0.017649799044372458
2021-01-07,0.11825005879071392,0.006696992743395443,0.10709475218598208
2021-01-08,0.13746318053199097,0.09735703509818264,0.13345256598861013
2021-01-09,0.0,0.03729980099249623,0.0037299800992496223
2021-01-10,0.0,0.0,0.0
2021-01-11,0.0,0.031303506836151594,0.003130350683615159
2021-01-12,0.05736677235667288,0.0,0.051630095121005595
2021-01-13,0.029920146168300327,0.09756365653745164,0.03668449720521545
2021-01-14,0.037504075110428955,0.0,0.03375366759938606
2021-01-15,0.09279436451975863,0.09308624447166347,0.09282355251494911
2021-01-16,0.012575498843470326,0.02686487817636007,0.014004436776759301
2021-01-17,0.04007413795202422,0.0190967846727415,0.03797640262409595
2021-01-18,0.0886716153944818,0.0758643709017008,0.0873908909452037
2021-01-19,0.038033591487017696,0.04795172017225758,0.039025404355541686
2021-01-20,0.0565595952726361,0.017576413831444256,0.05266127712851691
2021-01-21,0.03017471787791841,0.038796421246755995,0.031036888214802168
2021-01-22,0.0,0.013632411325748483,0.0013632411325748479
2021-01-23,0.184298872227171,0.03694686688493888,0.16956367169294778
2021-01-24,0.10101784184658412,0.13057543993938825,0.10397360165586453
2021-01-25,0.004878007371844212,0.007912864499408005,0.005181493084600591
2021-01-26,0.005142985218034787,0.03714209440200513,0.008342896136431821
2021-01-27,0.015543223914331064,2.3028924754937675e-05,0.013991204415373451
2021-01-28,0.0989278249649752,0.04208776101893625,0.09324381857037131
2021-01-29,0.09359084838502783,0.08976835938569118,0.09320859948509416
2021-01-30,0.03744485482701984,0.06243222531663796,0.039943591875981656
