datetime,dhr_forecast,esn_forecast,hybrid_forecast
2020-12-31 01:00:00,0.04421883663268783,0.01947327462566614,0.03926972423128349
2020-12-31 02:00:00,0.09926431768374559,0.05527106805511395,0.09046566775801926
2020-12-31 03:00:00,0.14807982254976887,0.06753576652513807,0.1319710113448427
2020-12-31 04:00:00,0.16851449829387838,0.05576123165024632,0.14596384496515197
2020-12-31 05:00:00,0.16634976352957842,0.04250463157066727,0.1415807371377962
2020-12-31 06:00:00,0.14387209314062693,0.047311140279676804,0.12455990256843691
2020-12-31 07:00:00,0.11794194895136204,0.06889642605557797,0.10813284437220522
2020-12-31 08:00:00,0.09059230066916582,0.0999493290137649,0.09246370633808564
2020-12-31 09:00:00,0.06247131444267051,0.10805544689809014,0.07158814093375443
2020-12-31 10:00:00,0.05157909943822234,0.08242980049673909,0.05774923964992569
2020-12-31 11:00:00,0.05483263831313444,0.04398539780958305,0.05266319021242416
2020-12-31 12:00:00,0.07055576373502125,0.015740749748883755,0.059592760937793754
2020-12-31 13:00:00,0.0809973796307118,0.01614274961862905,0.06802645362829525
2020-12-31 14:00:00,0.09501595702656039,0.019210023847892447,0.07985477039082681
2020-12-31 15:00:00,0.10666104495086988,0.025634719312784816,0.09045577982325287
2020-12-31 16:00:00,0.08751759428741113,0.029665870002624384,0.07594724943045378
2020-12-31 17:00:00,0.07262275116191524,0.006978435339266607,0.05949388799738552
2020-12-31 18:00:00,0.07758015330209252,0.005973681890739348,0.0632588590198219
2020-12-31 19:00:00,0.0856036617102814,0.0,0.06848292936822513
2020-12-31 20:00:00,0.09751209446739767,0.005938931952870968,0.07919746196449233
2020-12-31 21:00:00,0.09409776007137861,0.0341844459119348,0.08211509723948984
2020-12-31 22:00:00,0.08075575418480234,0.04874690834330962,0.0743539850165038
2020-12-31 23:00:00,0.059859279183434984,0.0385683672220004,0.055601096791148066
2021-01-01 00:00:00,0.039760565489907425,0.018761315369473997,0.03556071546582074
2021-01-01 01:00:00,0.02593730091002976,0.002234035260448644,0.02119664778011354
2021-01-01 02:00:00,0.01665064637605492,0.0,0.013320517100843938
2021-01-01 03:00:00,0.014920327524928438,0.0,0.011936262019942752
2021-01-01 04:00:00,0.014033740782595387,0.0,0.01122699262607631
2021-01-01 05:00:00,0.017320592329060847,0.0,0.013856473863248678
2021-01-01 06:00:00,0.021684807233108033,0.007198038444437901,0.01878745347537401
2021-01-01 07:00:00,0.0297968294473335,0.03440216558138599,0.030717896674144
2021-01-01 08:00:00,0.03602630030834674,0.07588984409485072,0.043999009065647535
2021-01-01 09:00:00,0.03245504014693609,0.1175899604294631,0.049482024203441485
2021-01-01 10:00:00,0.02569947193084515,0.12490330427118725,0.045540238398913566
2021-01-01 11:00:00,0.019271941607012916,0.09877964143968249,0.03517348157354683
2021-01-01 12:00:00,0.02732717054621815,0.08879251574518827,0.03962023958601217
2021-01-01 13:00:00,0.03433200083753991,0.10723213081908888,0.048912026833849695
2021-01-01 14:00:00,0.04105619548411405,0.13017424379686685,0.058879805146664604
2021-01-01 15:00:00,0.03666849751598746,0.12679006780964344,0.054692811574718656
2021-01-01 16:00:00,0.0,0.09152977635784415,0.018305955271568825
2021-01-01 17:00:00,0.0,0.03834707822957215,0.0076694156459144285
2021-01-01 18:00:00,0.011883510300408113,0.01075883898590375,0.01165857603750724
2021-01-01 19:00:00,0.013131556822080061,0.0,0.010505245457664049
2021-01-01 20:00:00,0.009334552530714593,0.0,0.007467642024571675
2021-01-01 21:00:00,0.0,0.0,0.0
2021-01-01 22:00:00,0.0,0.0,0.0
2021-01-01 23:00:00,0.0,0.0,0.0
2021-01-02 00:00:00,0.0,0.0,0.0
2021-01-02 01:00:00,0.0,0.0,0.0
2021-01-02 02:00:00,0.0,0.0,0.0
2021-01-02 03:00:00,0.0,0.0,0.0
2021-01-02 04:00:00,0.0,0.0,0.0
2021-01-02 05:00:00,0.0,0.0,0.0
2021-01-02 06:00:00,0.0,0.0,0.0
2021-01-02 07:00:00,0.0033448020578734274,0.0,0.002675841646298742
2021-01-02 08:00:00,0.0025906230532884364,0.0,0.002072498442630749
2021-01-02 09:00:00,0.0,0.0,0.0
2021-01-02 10:00:00,0.0031474092443689447,0.0,0.002517927395495156
2021-01-02 11:00:00,0.022227683444661653,0.0,0.01778214675572932
2021-01-02 12:00:00,0.05962126423447098,0.0019531314194417694,0.04808763767146514
2021-01-02 13:00:00,0.09188191339492637,0.027343123515543123,0.07897415541904972
2021-01-02 14:00:00,0.11594457627593038,0.036386984819755885,0.10003305798469549
2021-01-02 15:00:00,0.12066858684989547,0.026173180370721843,0.10176950555406075
2021-01-02 16:00:00,0.08122446084934713,0.0,0.06497956867947771
2021-01-02 17:00:00,0.03729256356734044,0.0,0.029834050853872352
2021-01-02 18:00:00,0.008933033980650833,0.0,0.0071464271845206664
2021-01-02 19:00:00,0.0,0.0,0.0
2021-01-02 20:00:00,0.0,0.0,0.0
2021-01-02 21:00:00,0.0,0.0,0.0
2021-01-02 22:00:00,0.0,0.0,0.0
2021-01-02 23:00:00,0.0,0.0,0.0
2021-01-03 00:00:00,0.0,0.0,0.0
2021-01-03 01:00:00,0.0,0.0,0.0
2021-01-03 02:00:00,0.0,0.0,0.0
2021-01-03 03:00:00,0.0011731793259373065,0.0024809454383484535,0.0014347325484195359
2021-01-03 04:00:00,0.0,0.018523677163810988,0.003704735432762197
2021-01-03 05:00:00,0.0008329657469092634,0.03576370147210322,0.007819112891948053
2021-01-03 06:00:00,0.002127382636284563,0.05799960174371856,0.01330182645777136
